BFS_Nr,Gemeinde,Volksabstimmungstesultat_CO2,Volksabstimmungstesultat_Energiegesetz,Volksabstimmungstesultat_Covid19Gesetz,Volksabstimmungstesultat_Pestizidinitiative,Volksabstimmungstesultat_Jagdgesetz,Volksabstimmungstesultat_bezahlbare_Wohnungen,Volksabstimmungstesultat_Zersiedelungsinitiative,Volksabstimmungstesultat_Hornkuh_Initiative,Volksabstimmungstesultat_Ernährungssouveraenitaet,Volksabstimmungstesultat_Fair_Food_Initiative,Volksabstimmungstesultat_Fonds_Strassen,Volksabstimmungstesultat_Atomenergie_Austieg,Volksabstimmungstesultat_gruene_Wirtschaft,Volksabstimmungstesultat_Grundeinkommen,AG_EnerG,BE_EnerG,BE_NettoNull,BE_Strassenfahrzeuge,BL_Klimaschutz,LU_EnerG,SO_EnerG,SZ_PlusEnergiehaus,ZH_NettoNull,ZH_EnerG,ZH_Diff_EnerG_CO2,ZH_Diff_EnerG_NettoNull,ZH_Diff_NettoNull_CO2,Wahlbeteiligung_NRW_2019,Personenwagen_pro_1000_Einwohner,Indikator_Politik_Umwelt,Indikator_Politik_rechts_links,Veraenderung_in_Prozent,Bevoelkerungs_dichte_pro_km2,Auslaender_in_Prozent,Alter_0_19_Jahre,Alter_20_64_Jahre,Alter_65_Jahre_und_mehr,Durchschnittliche_Haushaltsgroesse_in_Personen,Siedlungsflaeche_in_Prozent,Veraenderung_Siedlungsflaeche_in_prozent,Landwirtschafts_flaeche_in_Prozent,Veraenderung_Landwirtschafts_in_prozent,Wald_und_Gehoelze_in_Prozent,Unproduktive_Flaeche_in_Prozent,Beschaeftigte_im_1_Sektor_prozent,Beschaeftigte_im_2_Sektor_prozent,Beschaeftigte_im_3_Sektor_prozent,Arbeitsstaetten_im_1_Sektor_prozent,Arbeitsstaetten_im_2_Sektor_prozent,Arbeitsstaetten_im_3_Sektor_prozent,Leerwohnungs_ziffer,Neu_gebaute_Wohnungen_pro_1000_Einwohner,Sozialhilfequote,Anteil_Einwohner_in_Schweiz_geboren,Bevoelkerungssaldo_1990_2020_prozentual,Altersdurchschnitt,Einkommen_pro_Steuerpflichtige,PW_pro_1000_Einwohnern,PW_Anteil_fossil_prozent,PW_Anteil_hybrid_prozent,PW_Anteil_elektrisch_prozent,PW_Anteil_andere_prozent,GebKat_EFH_prozent,GebKat_MFH_prozent,GebKat_WgmN_prozent,GebKat_GmtW_prozent,Wohnungsgroesse_Durchschnitt_m2,Wohnungsgroesse_Aenderung_2010_2020_prozent,Alter_Gebaude_Durchschnitt,Gebaeudebau_nach_2000_prozent,Gebaeude_groesser_150m2_prozent,Elektrofahrzeug_Anteil_Prozent,Solar_Potential_Nutzung_Prozent,Heizung_Erneuerbar_Anteil_Prozent,Staedtische_Laendliche_Gebiete,Gesamtflaeche_in_km2,PW_Anteil_fossil_delta_2010_2021_prozent,PW_Anteil_hybrid_2010_2021_prozent,PW_Anteil_elektrisch_2010_2021_prozent,PW_Anteil_andere_2010_2021_prozent,Wohnungsgroesse_Durchschnitt_m2_2010,FDP,CVP,SP,SVP,EVP_CSP,GLP,BDP,PdA_Sol,GPS,Kleine_Rechtsparteien,Rohe_Heiratssziffer,Rohe_Scheidungsziffer,Rohe_Geburtenziffer,Rohe_Sterbeziffer,Polit_Ind_Umwelt,Polit_Ind_rechts_links,Schweiz,ImAusland,CH_total_Bevoelkerungssaldo_1990_2020_prozentual,Veraenderung_2020,CH_total_Altersdurchschnitt,Einwohner,BE_EnerG_Diff_CO2,BE_NettoNull_Diff_CO2,BE_Strassenfahrzeuge_Diff_CO2,BL_Klimaschutz_Diff_CO2,LU_EnerG_Diff_CO2,SO_EnerG_Diff_CO2,ZH_NettoNull_Diff_CO2,ZH_EnerG_Diff_CO2,AG_EnerG_Diff_CO2
1,Aeugst am Albis,53.189401373896,59.07,56.44,48.28,38.83,31.53,43.89,49.35,31.35,45.01,62.08,49.66,39.13,20.63, , , , , , , , ,64.23,63.53,10.34,-.7,11.04,55.37,616.86,48.640136613069,42.0433541114919,8.6074561404,250.4424778761,14.1847551742,19.7879858657,62.1908127208,18.0212014134,2.3242924528,12.6582278481,2.65,51.1392405063,-2.78,30.8860759494,5.3164556962,8.82,5.66,85.52,10.64,11.35,78.01,5.2915766739,13.9103554869,1.01,22.29,76.0489510489511,44.75,129001.011560694,616.86,91,5.56,3.19,.25,40.98,47.49,9.39,2.13,127.36,1.09,46.08,30.31,36.71,4.0031,8.0815,62.5448,3,7.91,-8.71,5.27,3.19,.25,125.99,16.4210448751,2.4979736202,11.5651020559,30.3809593987,3.2274703412,14.3172942303,1.2637241176,.1621103824,15.0504752782,3.8206469678,7.0653545294,2.0186727227,9.0840272521,6.5606863487,48.01,42.72,1565,449,76.0489510489511,33,44.75,1981, , , , , , ,11.040598626104,10.340598626104, 
2,Affoltern am Albis,51.25,58.12,62.87,42.07,45.51,39.81,36.04,45.57,24.58,32.18,60.81,42.92,34.42,22.01, , , , , , , , ,65.48,62.61,11.36,-2.87,14.23,42.14,517.6,50.7986013649204,44.6216329958715,10.9277792805,1161.7563739377,28.7003169959,20.1658132163,61.6678858815,18.1663009022,2.2259793052,30.6742640076,8.69,40.1709401709,-8.78,28.2051282051,.9496676163,.68,18.89,80.43,2.31,13.47,84.22,1.0055478502,3.7872550634,3.02,33.8,31.9411638393816,42.13,86069.1581632653,517.6,93.95,4.16,1.62,.27,17.99,64.41,15.43,2.17,103.04,-.16,43.61,24.57,13,2.0149,3.7235,41.2563,1,10.59,-5.51,3.82,1.62,.07,103.2,13.3854374655,4.5353414342,14.6452545306,30.3069199612,6.6185559169,12.6666286345,2.0014452241,.1987183144,12.5905642079,1.5555175233,5.5437795532,1.7935757378,12.8811348443,9.2124571988,50.03,46.07,8135,4154,31.9411638393816,-14,42.13,12303, , , , , , ,14.23,11.36, 
3,Bonstetten,55.0779603876949,62.54,66.36,45.71,42.18,40.38,37.78,43.61,24.28,35.01,63.88,49.01,38.41,20.47, , , , , , , , ,68.01,66.24,11.16,-1.77,12.93,54.34,498.21,53.8083158640677,46.5999247099139,8.0054274084,749.932705249,16.5649676956,23.6360373295,59.8348887294,16.5290739411,2.3841856468,15.4569892473,3.23,55.5107526882,-2.83,28.6290322581,.4032258065,3.35,10.95,85.7,4.98,9.25,85.77,1.1717171717,.1814223512,1.51,23.4,117.18931475029,40.96,107053.685897436,498.21,92.26,4.86,2.52,.36,32.11,55.49,10.5,1.9,118.03,-.35,34.43,33.04,19.63,3.2781,5.1555,38.0868,2,7.43,-6.96,4.39,2.48,.09,118.44,15.3549839136,3.8679612771,16.742890944,26.1163129572,4.1940184381,16.2379351637,1.2840304128,.1760131577,12.3685311558,1.3850215688,4.3165467626,1.7985611511,9.8920863309,4.3165467626,52.58,47.21,4297,1313,117.18931475029,38,40.96,5572, , , , , , ,12.9320396123051,11.1620396123051, 
4,Hausen am Albis,50,58.28,55.39,43.29,42.11,38.23,39.55,49.33,31.35,39.63,60.86,49.2,36.4,25.67, , , , , , , , ,64.02,61.56,11.56,-2.46,14.02,53.41,571.58,50.4554797468812,45.159031036114,11.6369047619,275.8088235294,16.0223940283,22.1807517995,59.8240469208,17.9952012797,2.4007731959,12.6925898753,2.43,55.9060895084,-2.28,28.8334556126,2.5678650037,9.11,13.32,77.57,13.28,14.02,72.69,.6300114548,3.0021834061,1.19,20.65,42.0403587443946,43.09,110289.564502876,571.58,93.56,4.1,2.1,.23,42.57,41.42,13.02,3,125.14,.3,54.05,24.54,33.12,3.0736,8.393,44.8082,2,13.6,-5.62,3.5,2.05,.07,124.76,11.1351626663,3.9345514739,13.7115086692,33.1847796099,4.0597610407,12.4169690796,1.6107468008,.1931198404,16.7441268224,1.6107468008,3.2206119163,1.6103059581,8.5882984434,3.757380569,49.75,46.32,3016,785,42.0403587443946,50,43.09,3751, , , , , , ,14.02,11.56, 
5,Hedingen,54.6290971822887,59.16,64.91,46.35,41.82,39.88,39.45,46.07,26.71,36.63,60.12,49.34,36.89,22.08, , , , , , , , ,65.61,64.73,10.1,-.88,10.98,53.98,524.09,53.2450957296357,46.272097057433,10.7917888563,578.5604900459,16.4107993647,21.6251985177,61.6463737427,16.7284277395,2.3784810127,19.8170731707,6.74,46.3414634146,-6.58,33.2317073171,.6097560976,1.96,45.94,52.1,5.47,12.94,81.59,.9626955475,3.2485110991,1.47,22.08,79.3478260869565,42.26,116777.078288943,524.09,91.92,4.6,2.83,.66,38.65,51.58,8.04,1.73,120.48,-.78,43.98,27.1,27.04,3.327,9.5747,42.2989,1,6.53,-6.01,2.99,2.83,.2,121.43,13.9908978419,3.8736603679,16.7383234412,26.6017910698,3.7268513664,16.4153436379,1.8812524905,.1824626161,12.3487342967,2.1706759506,3.7273695421,2.1299254526,7.4547390841,6.3897763578,52.14,47.18,2957,838,79.3478260869565,17,42.26,3778, , , , , , ,10.9809028177113,10.1009028177113, 
6,Kappel am Albis,42.0774647887324,50.64,46.11,34.03,52.07,32.22,38.05,39.47,31.39,36.65,61.64,44.37,30.28,18.06, , , , , , , , ,53.47,57.69,15.61,4.22,11.39,48.96,559.38,39.9330448465732,35.0387018096081,33.0065359477,154.1666666667,17.5266175266,24.9795249795,61.1793611794,13.8411138411,2.4665314402,8.3120204604,1.52,69.9488491049,-1.52,20.5882352941,1.1508951407,17.55,25.39,57.05,20.79,23.76,55.45,2.1778584392,37.3333333333,.69,22.57,80.9593023255814,39.9,117463.01703163,559.38,94.73,3.51,1.32,.44,38.13,39.39,18.88,3.6,128.68,1.41,54.86,32.19,37.59,2.3936,7.7869,64.5892,3,7.92,-4.04,3.1,1.32,-.38,126.89,10.8628896054,5.4966989099,9.0741593736,43.6358053125,4.5140488254,10.8705665592,1.2666973745,.0460617227,10.1796407186,1.6275142024,3.3641715728,0,10.0925147183,5.0462573591,38.96,36.38,964,281,80.9593023255814,24,39.9,1221, , , , , , ,11.3925352112676,15.6125352112676, 
7,Knonau,48.1444332998997,56.89,54.9,41.02,49.06,35.12,39.71,42.4,26.72,34.3,57.01,49.33,34.37,23.63, , , , , , , , ,60.71,63.4,15.26,2.69,12.57,46.52,504.21,50.0072556264262,42.658624454099,32.1111111111,367.542503864,18.2926829268,24.3481917578,60.9756097561,14.6761984861,2.5587918015,18.0277349769,2.94,62.249614792,-3.25,17.1032357473,2.6194144838,9.72,19.08,71.2,18.05,11.28,70.68,.5882352941,5.6399132321,.84,22.25,132.940019665683,40.21,105647.157622739,504.21,93.08,3.84,2.67,.42,31.54,53.65,10.87,3.94,127.06,.66,36.62,42.02,31.63,3.7154,18.6078,54.3353,2,6.47,-6.32,3.84,2.67,-.18,126.23,9.2047952877,5.3428464761,11.4323640436,32.268635666,6.9067075953,17.3227693201,2.6672750653,.0954079728,11.349400589,2.2026797196,3.3677120606,.8419280152,12.6289202273,8.4192801515,49.4,44.74,1842,527,132.940019665683,-9,40.21,2378, , , , , , ,12.5655667001003,15.2555667001003, 
8,Maschwanden,44.4444444444444,51.56,44.91,32.34,56.17,37.25,37.34,35.95,31.96,38.27,55.51,44.23,38.14,18.3, , , , , , , , ,57.2,54.91,10.47,-2.29,12.76,47.45,593.8,44.0749146990372,40.2975296847096,4.7077922078,137.526652452,12.8682170543,22.015503876,59.5348837209,18.4496124031,2.3540145985,8.9743589744,-1.07,59.6153846154,0,23.7179487179,7.6923076923,28,28,44,26.87,10.45,62.69,2.9900332226,0, ,15.29,25.440313111546,43.02,86657.399103139,593.8,94.52,2.61,2.35,.52,30.82,39.67,28.2,1.31,125.97,-.59,77.21,15.41,34.43,2.7919,7.2366,58.1522,3,4.69,-4.56,1.69,2.35,.52,126.72,3.3391915641,2.5550899013,16.9392997161,44.5180478572,3.4067865351,12.2887657158,2.9336217385,.0675949709,10.0175746924,2.9876977153,3.0745580323,0,6.1491160646,7.6863950807,43.66,41.69,543,98,25.440313111546,-4,43.02,645, , , , , , ,12.7555555555556,10.4655555555556, 
9,Mettmenstetten,51.0289634146342,58.42,56.8,44.44,44.16,35.08,35.39,39.73,25.22,34.38,61.79,45.93,34.85,20.12, , , , , , , , ,62.76,62.38,11.35,-.38,11.73,50.46,569.23,49.8377891477564,43.6345735432987,22.5547961348,399.07904835,14.7692307692,23.0961538462,59.2115384615,17.6923076923,2.4492131617,15.9908186687,4.99,64.2693190513,-5.37,18.5921958684,1.1476664116,8.81,32.44,58.75,15.99,18.18,65.83,1.3250883392,18.2153090463,1.61,20.22,82.6825127334465,41.24,106712.72294887,569.23,93.58,4.16,2.03,.24,31.62,55.21,10.17,3,124.98,.59,44.2,34.41,29.73,2.7534,7.7429,58.615,2,13.03,-5.58,3.6,2.03,-.04,124.25,11.823788258,3.5628404574,15.3702704029,31.2296543489,4.6572115621,14.6488688227,1.3577399355,.3876920057,11.8254240893,3.9292666569,5.0514863027,2.3314552166,13.7944433651,4.6629104333,49.23,44.7,4292,1088,82.6825127334465,180,41.24,5200, , , , , , ,11.7310365853658,11.3510365853658, 
10,Obfelden,44.388456252863,55.49,56.68,38.93,46.37,36.94,30.38,42.13,21.7,29.37,63.01,44.3,32.27,18.44, , , , , , , , ,60.4,58.86,14.47,-1.54,16.01,43.13,546.23,47.2922564240996,41.0557306314254,22.0870678617,758.7533156499,21.4647788848,23.5797937424,59.6399230904,16.7802831673,2.4246048697,24.3386243386,6.1,49.0740740741,-5.84,21.4285714286,5.1587301587,4.07,24.76,71.17,5.54,19.54,74.92,2.1454112038,7.2815533981,2.57,25.78,56.7824199674444,40.53,94223.0292792793,546.23,93.95,3.55,2.18,.32,36.76,51.92,9.1,2.22,118.77,-1.08,42.09,31.34,24.3,2.8411,5.1553,44.2424,2,7.54,-5.18,3.08,2.14,-.03,120.07,11.5118182164,6.3924941956,14.6424085563,33.7152209493,5.3248582195,14.5605754958,1.8421954097,.0856392494,8.5487001865,2.1733338408,4.9469964664,1.9434628975,12.1908127208,6.0070671378,46.72,43.23,4289,1490,56.7824199674444,58,40.53,5721, , , , , , ,16.011543747137,14.471543747137, 
